52	Caudal Cardinal Vein	The caudal cardinal vein is either of a pair of veins running caudally along each side of the spinal column caudal. Both caudal cardinal veins empty into the common cardinal vein.	11	ZDB-ANAT-011113-401	29	0	4238,705	217	218
53	Dorsal Aorta	The dorsal aorta is the principal, unpaired, median artery of the trunk. It leads from the paired roots (radices) of the dorsal aorta to the caudal artery.	2	ZDB-ANAT-010921-424	52	0	6500,924	224	225
54	Primary Head Sinus	The primary head sinus is the main route for venous drainage of the rostral and mid cerebral veins as well as portions of the primordial hindbrain channel.	10	ZDB-ANAT-050915-86	61	1	986,828	250	251
55	Artery	An artery is a tubular branching muscular- or elastic-walled vessel that carries blood from the heart through the body.	66	ZDB-ANAT-010921-411	63	1	518,926	212	213
56	Vein	A vein is a tubular branching vessel that carries blood from the capillaries to the heart. It has thinner walls than the arteries and often has valves at intervals to prevent reflux of the blood, which flows in a steady stream and in most cases is dark-colored due to the presence of reduced hemoglobin.	1	ZDB-ANAT-010921-501	26	0	2116,657	256	257
57	Capillary	A capillary is a minute blood vessel that connects the arterioles and venules. Its walls act as a semipermeable membrane for interchange of various substances between the blood and tissue fluid.	1		24	0	1143,696	214	215
58	Primordial Hindbrain Channel	The primordial hindbrain channel is composed of paired vessels that run along the lateral walls of the hindbrain and drain into the anterior cardinal veins.	20	ZDB-ANAT-020702-10	18	1	1123,788	252	253
59	Mandibular Arch Artery	NULL	66		19	1	290,841	244	245
60	Opercular Artery	The opercular artery arises from the hyoid stump on the first aortic arch, then follows the lateral margin of the operculum (gill covering) ventrally to reconnect into the proximal part of the first aortic arch.	0	ZDB-ANAT-050915-140	19	0	1600,1445	248	249
61	Segmental Vessel	NULL	66	ZDB-ANAT-050915-90	52	0	6050,650	254	255
62	Digestive	NULL	0		NULL	NULL	NULL	1	50
63	Pharynx	The pharynx is the part of the digestive and respiratory tracts situated between the cavity of the mouth and the esophagus. It is a swollen region of the anterior foregut, caudal to the mouth and rostral to the liver. Its walls form the jaws and gills.	0	ZDB-ANAT-010921-473	18	1	1095,1209	40	41
64	Esophagus	The esophagus is the musculomembranous passage extending from the pharynx to the stomach.	11	ZDB-ANAT-011113-135	47	1	2062,1074	2	3
65	Liver	The liver is a large vascular glandular organ involved in filtration of blood, secretion of bile, conversion of sugars into glycogen, and other metabolic activities.	20	ZDB-ANAT-010921-549	82	2	8432,1568	26	27
66	Swim Bladder	The swim bladder is a double-chambered organ located in the coelom and used to maintain buoyancy. Also, it may function as an acoustic resonator.	1	ZDB-ANAT-010921-495	45	1	3274,940	44	49
67	Tunica Interna	A tunic interna is an inner membranous covering of an organ or a distinct layer of the wall of a hollow structure, such as the swim bladder.	258		45	1	3274,940	45	46
68	Tunica Externa	A tunic externa is an outer membranous covering of an organ or a distinct layer of the wall of a hollow structure, such as the swim bladder.	20		45	1	3274,940	47	48
69	Intestine	The intestine is the part of the alimentary tract extending from the pyloric opening of the stomach to the anus. It is a musculomembranous tube lined with a secretory and absorptive mucosa. The intestine is involved in digestion and assimilation of nutrients, the extraction of moisture from the by-products of digestion, and the evaporation of the by-products into feces.	20	ZDB-ANAT-060131-16	46	1	2888,1124	6	25
70	Rostral Intestine	The rostral intestine (or intestinal bulb) is the rostral-most portion of the intestine. It has the most digestive enzymes and the greatest epithelial surface area of the three portions.	2053	ZDB-ANAT-030922-14	62	1	827,1256	13	24
71	Muscularis	Muscularis is the smooth muscular layer of the wall of various more or less contractile organs, such as the intestine.	130		62	0	1020,1170	20	21
72	Lamina Propria	Lamina propria is a highly vascular layer of connective tissue under the basement membrane lining a layer of epithelium.	1		62	0	1020,1170	16	17
73	Submucosa	NULL	1		62	0	1020,1170	22	23
74	Mucosal Epithelium	NULL	0		62	0	1020,1170	18	19
75	Brush Border	A brush border is a stria of microvilli on the plasma membrane of an epithelial cell that is specialized for absorption.	0		62	0	1020,1170	14	15
76	Mid-Intestine	The mid-intestine is the middle portion of the intestine. The terminal region of the mid-intestine is comprised of specialized enterocytes that appear to play a role in mucosal immunity.	1	ZDB-ANAT-060131-7	24	1	3816,1038	11	12
77	Caudal Intestine	The caudal intestine is the caudal-most portion of the intestine. It has short, longitudinally- arranged epithelial folds that are similar to the colon of higher vertebrates.	130	ZDB-ANAT-011113-9	58	0	822,1109	7	10
78	Mucosal Epithelium	NULL	130		58	0	825,1119	8	9
79	Pancreas	The pancreas is a lobulated gland organ in the digestive and endocrine systems. It is both exocrine, secreting pancreatic juice containing digestive enzymes into the intestine, and endocrine, producing several important hormones.	0	ZDB-ANAT-010921-570	49	1	2788,890	28	39
80	Exocrine Pancreas	The exocrine pancreas is the part of the pancreas that acts as an exocrine gland. It is composed of acinar epithelial cells and ductal epithelium that manufacture proteolytic enzymes and bicarbonate, which are secreted into the duodenum to aid in protein digestion.	20	ZDB-ANAT-050711-6	24	1	3226,1211	33	38
81	Centroacinar Cell	A centroacinar cell is a spindle-shaped cell occupying the center of the alveolus of the pancreas. It is a prolongation of a terminal duct.	22		30	0	3342,1175	34	35
82	(Secratory) Acini	(Secratory) acini are small sacs or alveoli, lined with secretory cells, that terminate the ducts of some exocrine glands.	516		30	0	3342,1175	36	37
83	Endocrine Pancreas	The endocrine pancreas is the part of the pancreas that acts as an endocrine gland. It is composed of small groups of islet cells that are distributed throughout the exocrine pancreas. The islet cells produce insulin, glucagon, and somatostatin.	1	ZDB-ANAT-050711-7	24	1	3226,1211	29	32
84	Islet	An islet is a small isolated mass of one type of tissue within a different type.	22		24	1	3226,1211	30	31
85	Intestinal Gland	Intestinal glands (or crypts of Lieberkuhn) are any of the tubular glands of the intestinal mucous membrane.	1		62	0	851,969	4	5
86	Pneumatic Duct	The pneumatic duct is a duct connecting the esophagus to the rostral chamber of the swim bladder.	1	ZDB-ANAT-060816-5	49	0	2487,957	42	43
87	Musculoskeletal	NULL	258		NULL	NULL	NULL	73	122
88	Pharyngeal Cartilage	The pharyngeal (ARCH) cartilage is translucent, somewhat elastic tissue that composes the pharyngeal arch skeleton, the regional skeletal system of the jaws, hyoid and branchial arches. In older ages, the pharyngeal cartilage is replaced by bone during ossification.	0	ZDB-ANAT-060816-29	44	2	1576,1344	96	113
89	Meckel's	Meckel's (CARTILAGE) is the bilaterally paired, rod-like, cartilaginous ventral component of the lower jaw, or ventral mandibular arch. It is typically resorbed in adults. The distal end of Meckel's cartilage ossifies to form the malleus and most of the rest disappears in development, with the part adjacent to the malleus being replaced by fibrous membrane comprising the sphenomandibular ligament and the connective tissue covering most of the remaining part ossifying to form much of the mandible.	3	ZDB-ANAT-050711-2	34	1	424,832	109	110
90	Palatoquadrate	NULL	3	ZDB-ANAT-060331-24	12	1	1453,1315	111	112
91	Hyosympletic	Hyosympletic (CARTILAGE) is the large, bilaterally paired cartilage that articulates with the chondrocranium dorsally, the opercle caudally, and the palatoquadrate cartilage rostrally.	0	ZDB-ANAT-060331-47	44	1	1032,1448	105	106
92	Basihyal	Basihyal (CARTILAGE) is the median, rostral-most cartilage of the hyoid arch. It chondrifies between the caudal tips of the ceratohyal cartilages, caudal to the first copula.	2	ZDB-ANAT-070517-26	12	0	1000,1343	97	98
93	Ceratohyal	Ceratohyal (CARTILAGE) is the bilaterally paired, dumbbell-shaped cartilage that has an expanded caudal tip and slightly narrower rostral tip.	2	ZDB-ANAT-060331-25	44	1	1240,1534	101	102
94	Interhyal	The interhyal is a small, rod-like element that connects the ventral and dorsal parts of the hyoid arch. It articulates laterally with the caudal end of the epihyal and medially at the cartilaginous junction between the hyomandibula and the symplectic. It remains cartilaginous in adult zebrafish and other cypriniforms.	2	ZDB-ANAT-070517-27	44	1	1072,1508	107	108
95	Ceratobranchial Arch [1-5]	The ceratobranchial (ARCH [1-5]) (CARTILAGE) is the small rod-like cartilage that forms between the hypobranchial and the epibranchial cartilage.	2	ZDB-ANAT-070928-118	44	1	1818,1444	99	100
96	Cleithrum	The cleithrum is the transversely oriented bone connecting the occipital region of the skull dorsally and pectoral girdle ventrally. It appears near the end of embryogenesis.	2	ZDB-ANAT-011113-117	44	1	1968,1506	103	104
97	Pharyngeal Arches	The pharyngeal arches are a series of arches in the walls of the mouth cavity and pharynx that correspond to the gill arches. They typically consist of a curved, segmented bar or rod on each side meeting the contralateral bar or rod at the ventral end.	10	ZDB-ANAT-050915-111	41	1	1728,1314	94	95
98	Pectoral Fin	NULL	1	ZDB-ANAT-050304-1	30	1	2552,336	92	93
99	Chondrocranium	The chondrocranium is comprised of cranial skeletal elements composed of cartilage and cartilage replacement bones.	0	ZDB-ANAT-060331-49	43	2	1244,941	74	85
100	Trabecula Cranii	The trabecula cranii is either of two thin, paired, medially aligned bars of cartilage that extends from the rostral end of the chondrocranium to just rostral to the rostral end of the notochord. The caudal ends of the trabeculae cranii are continuous with the parachordal cartilages, and they enclose the hypophyseal fenestra.	2	ZDB-ANAT-070517-23	15	0	1104,1097	83	84
101	Otic Capsule	The otic (or auditory) capsule is the bilaterally paired cartilage encasing the semicircular canals of the inner ear.	2	ZDB-ANAT-070517-16	43	1	1708,966	77	78
102	Ethmoid Plate	The ethmoid plate (or cartilage) is the bilaterally paired neurocranium cartilage that initially is plate-like and formed from the rostral fusion between the bilaterally paired trabeculae cranii. It grows dorsally between the laminae orbitonasales to attain a complex shape.	2	ZDB-ANAT-060331-30	43	1	804,968	75	76
103	Parachordal	Parachordal (CARTILAGE) is the rod-shaped paired cartilage on either side of the notochord. It unites dorsal to the notochord, forming the base of the chondrocranium, and is eventually replaced by the prootic bones.	2	ZDB-ANAT-060331-48	20	1	1680,886	79	80
104	Rostral Basicranial Comissure	NULL	2		43	1	1518,1042	81	82
105	Extraocular Muscle	The extraocular muscle is any of six small voluntary muscles that pass between the eyeball and the orbit and control the movement of the eyeball in relation to the orbit.	0	ZDB-ANAT-011113-433	24	0	1055,783	86	87
106	Notochord	The notochord is a longitudinal flexible rod of cells that forms the supporting axis of the body in embryos and larvae. It is present in the midline, just ventral to the neural tube, and differentiates during the segmentation period to form large vacuolated epithelial cells and a surrounding sheath of fibrous and elastic layers. Layering of the sheath may differ in structure, thickness and development among groups; in cypriniforms there are actually three very thin layers to the sheath. A functional, well-developed notochord is present throughout life in certain basal fish groups but not in cypriniforms.	1	ZDB-ANAT-010921-564	25	2	7711,188	88	89
107	Somitic Muscle	NULL	11		29	1	4132,418	114	121
108	Myotome	A myotome is the portion of a somite from which skeletal musculature is produced.	0	ZDB-ANAT-020702-14	29	1	4132,418	117	118
109	Vertical Myoseptum	A vertical myoseptum is a connective tissue partition developing between adjacent myotomes.	1	ZDB-ANAT-011113-538	63	1	474,588	119	120
110	Horizontal Myoseptum	A horizontal myoseptum is a connective tissue partition developing at the apex of the chevron-shaped myotome and separating dorsal (epaxial) and ventral (hypaxial) body wall muscle masses.	10	ZDB-ANAT-011113-597	63	1	474,588	115	116
111	Orbital Muscle (Eye)	NULL	10		17	0	1708,1176	90	91
112	Visual	NULL	0		NULL	NULL	NULL	287	310
113	Eye	The eye is the organ of sight. It is a nearly spherical hollow organ that is lined with a sensitive retina, is lodged in a bony orbit in the skull, and is normally paired.	0	ZDB-ANAT-010921-532	30	2	948,472	288	309
114	Lens	The lens is a highly transparent biconvex lens-shaped or nearly spherical body in the eye that focuses light rays entering the eye, typically onto the retina. It lies immediately behind the pupil and is made up of slender, curved, rod-shaped ectodermal cells in concentric lamellae surrounded by a tenuous mesoblastic capsule. It alters its focal length by becoming more or less spherical in response to the action of the ciliary muscle on a peripheral suspensory ligament.	1	ZDB-ANAT-010921-447	30	1	978,200	299	300
115	Ganglion Cell	A (RETINAL) ganglion cell is a neuron that receives neural inputs via bipolar, horizontal, and amacrine cells. The axons of these cells make up the optic nerve.	1	ZDB-ANAT-051116-46	30	0	864,498	295	296
116	Inner Plexiform	The (RETINAL) inner plexiform (LAYER) is the layer within the retina where the bipolar cells synapse with the dendrites of the ganglion cells.	2	ZDB-ANAT-051116-8	30	0	864,558	297	298
117	Amacrine Cell	An amacrine cell is an interneuron of the vertebrate retina. Amacrine cells integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells with which they synapse in the inner plexiform layer.	2	ZDB-ANAT-051116-41	30	0	864,638	289	290
118	Bipolar Cell	A (ROD) bipolar cell is a bipolar neuron found in the retina that has connections with rod photoreceptor cells and neurons in the inner plexiform layer.	2	ZDB-ANAT-070308-254	30	0	864,638	291	292
119	Outer Plexiform	The (RETINAL) outer plexiform (LAYER) is the layer within the retina where the bipolar cells synapse with the photoreceptor cells.	2	ZDB-ANAT-051116-9	30	0	864,638	303	304
120	Photoreceptor	A photoreceptor (CELL) is a cell specialized to detect and transduce light.	2	ZDB-ANAT-070308-96	30	0	864,638	305	306
121	Choroidal Melanocytes	NULL	2		30	0	864,638	293	294
122	Retinal Pigmented Epithelium	The retinal pigmented epithelium is a monolayer of pigmented epithelium covering the neural retina. It develops from the outer of the two layers of the optic cup.	0	ZDB-ANAT-010921-575	30	0	864,638	307	308
123	Marginal Zone	The (CILIARY) marginal zone is the region at the periphery of the retina where retinal stem cells are located.	10	ZDB-ANAT-050915-94	28	0	759,1657	301	302
124	Vestibular	NULL	16834		NULL	NULL	NULL	261	286
125	Inner Ear	The inner ear is the auditory and vestibular organ of the fish. It is located in the temporal bone and is innervated by the auditory nerve.	0	ZDB-ANAT-011113-147	29	1	1732,1438	262	285
126	Rostral Macula	The rostral macula is comprised of patches of thickened, pseudostratified epithelium of the inner ear. It consists of regular arrays of sensory hair cells interspersed with supporting cells. Each patch has its own charcteristic shape and polarity pattern.	35	ZDB-ANAT-011113-48	29	0	1483,1542	269	270
127	Epithelial Projections	NULL	34		50	0	1616,506	279	280
128	Medial Macula	NULL	0		29	0	1840,1110	267	268
129	Semicircular Canal	The semicircular canals are fluid-filled toroidal spaces, arranged orthogonally to each other in the ear, that detect angular accelerations.	0	ZDB-ANAT-011113-356	41	0	2190,928	273	284
130	Rostral Semicircular Canal	The rostral semicircular canal is one of three fluid-filled toroidal spaces, arranged orthogonally to each other in each ear, that detect angular acceleration.	34	ZDB-ANAT-011113-241	29	1	1544,1456	282	283
131	Caudal Semicircular Canal	The rostral semicircular canal is one of three fluid-filled toroidal spaces, arranged orthogonally to each other in each ear, that detect angular acceleration.	34	ZDB-ANAT-011113-192	29	1	2000,1329	274	275
132	Lateral Semicircular Canal	One of three fluid-filled toroidal spaces, arranged orthogonally to each other in each ear, that detect angular acceleration.	34	ZDB-ANAT-011113-15	50	0	1944,518	276	281
133	Dorsolateral Septum	NULL	34		50	0	1830,512	277	278
134	Rostral Otolith	The otolith is a calcareous concretion in the inner ear. It is a brightly refractile, stone-like organ located within the otic vesicle and positioned over a sensory macula. Two form in each vesicle during the late segmentation period.	0		50	0	1683,664	271	272
135	Caudal Otolith	The otolith is a calcareous concretion in the inner ear. It is a brightly refractile, stone-like organ located within the otic vesicle and positioned over a sensory macula. Two form in each vesicle during the late segmentation period.	10		41	0	2278,1015	265	266
136	Caudal Macula	NULL	10		NULL	NULL	NULL	263	264
137	Olfactory	NULL	0		NULL	NULL	NULL	197	202
138	Olfactory Epithelium	The olfactory epithelium is the nasal mucosa in which ciliated olfactory receptor neurons, supporting cells, and basal cells are located.	0	ZDB-ANAT-011113-475	8	0	1554,428	198	199
139	Olfactory Pit	NULL	2	ZDB-ANAT-010921-558	46	0	244,966	200	201
140	Integumentary	NULL	0		NULL	NULL	NULL	51	72
141	Loose Connective Tissue	NULL	0		37	0	1450,562	60	61
142	Melanophores	Melanophores (or melanocytes) are pigment cells derived from the neural crest. They contain melanin-filled pigment granules which give the cells a brown to black appearance.	0	ZDB-ANAT-040708-2	31	0	1287,320	57	58
143	Epithelium	NULL	2		NULL	NULL	NULL	52	59
144	Operculum	The operculum is comprised of the folds of pallium from the frontal, parietal, and temporal lobes of the cerebrum that cover the insula.	0	ZDB-ANAT-011113-476	36	1	1592,240	62	63
145	Intestinal Epithelium	NULL	20		NULL	NULL	NULL	53	56
146	Squamous Epithelium	Squamous epithelium is mucosa consisting of one or more cell layers, the most superficial of which is composed of flat, scale-like, or plate-like cells.	0		35	1	756,178	64	71
147	Club Cell	NULL	516		35	0	756,178	65	66
148	Mucous Cell	A mucous cell is a cell that secretes mucous.	0	ZDB-ANAT-010921-556	35	0	756,178	67	68
149	Keratinocyte	A keratinocyte is an epidermal cell that synthesizes keratin and undergoes a characteristic change as it moves upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. The successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cells, spinous or prickle cells, and granular cells.	1	ZDB-ANAT-070308-122	35	0	756,178	69	70
150	Goblet Cell	A goblet cell is a cell of the epithelial lining that produces and secretes mucins.	2	ZDB-ANAT-070308-71	45	0	1532,1134	54	55
151	Urinary	NULL	2		NULL	NULL	NULL	259	260
152	Reproductive	NULL	0		NULL	NULL	NULL	209	210
153	Renal	NULL	0		NULL	NULL	NULL	203	208
154	Pronephric Duct	The pronephric duct is a duct of the embryonic kidney, present bilaterally ventral to the somites and leading to the cloacal chamber. Wingert, et al. have suggested that the pronephric duct as described traditionally may consist of subregions which are analogous to portions of the tubule segment of mammalian and other fish nephrons.	0	ZDB-ANAT-010921-585	29	1	2848,830	204	205
155	Pronephric Tubule	The pronephric tubule is either of two bilaterally paired tubes connecting the pronephric glomeruli to the pronephric ducts. In zebrafish and other teleosts, the pronephric nephron and tubules form after the pronephric duct, connecting to the anterior-most tip of the pronephric ducts. This region may be analogous to the ciliated neck segment of mammalian and other fish nephrons.	1034	ZDB-ANAT-070928-160	49	0	2392,726	206	207
